subject,version,character,coherence,lag,plot,response,rt,stimulus,word_count
404,29,Johnny,unrelated,short,sideplot,"{""Q0"":""lost his american express credit card which he needed to use to pay for his house's morgage otherwise he was going to lose everything since the bank would take his house. asked chase whether or not he had seen it. Wearing a jacket with a red scarf? Later contacted Chase about something unrelated over phone.""}",233444.2,NA,55
404,29,Sandra,unrelated,long,sideplot,"{""Q0"":""She is an art currator and she was hosting an art show and there was a short lady with glasses, brown bob cut, and red coat that was coming who doesnt like a certain type of art. The lady has a lot of influence with the other people coming so Sandra doesnt expect it to be a good time. She doesn't like spaces with a lot of people. Chase offers to come which Sandra accepts since the short lady tends to follow artists around that she doesn't like. At some point wore a flower printed shirt. Contacted Chase again later over phone about her going on a date.  She didn't he was going to show up so she left as a man in a coat and longish hair (grey?) was leaving. ""}",270627,NA,133
404,29,Beatrice,coherent,long,sideplot,"{""Q0"":""She called up Chase to tell him about the bike race she was doing to support a condition she was recently diagnosed with. However there was a registration fee of $100 which she asked Chase for. Chase didn't have that type of money laying around but he offered to pay $50 which Beatrice was very happy about. Later met with Chase where he noticed her Broken left forearm. She explained that it was due to her falling on her bike during the race. The doctor examined it after words (make in white coat.)She was happy about it and was saying this is the least amount of pain I have felt in awhile. She highly recommended Chase ride his bike to work and go biking with her. ""}",314725.4,NA,127
404,29,Melvin,coherent,short,sideplot,"{""Q0"":""He just got finished dumpster diving before he talked to chase. His long whit coat was covered in dirt. He was looking for his keys(?) that he may have dropped into the dumpster. Towards the end of their conversation Melvin expressed concern that he may have left the oven on which was currently cooking a pepperoni pizza so he had to go back home to check. Later face times chase saying burnt cheese tasted good and that he had to now clean his soot covered kitchen. Chased asked why and it was because of a grease fire. He claimed it was a good thing the fire department had an extra set of keys.""}",226259.2,NA,113
404,29,Charles,mainplot,mainplot,mainplot,"{""Q0"":""He is a photographer for a newspaper company and wants to be promoted. Sandra called him and he offered to help same with Beatrice. He was eating oatmeal when his boss tasked him with photographing the mayor. His desk has stacks of manilla folders and post it notes. His camera is large with multiple lenses. His office contains two other desks besides his own with two plants on either side of the door. On the wall behind his office chair opposite the door contained two posters with the atom symbol on them. when he left to go take photos of the mayor after his call with Sandra his boss reminded him to send the photos afterwards. When he got to the mayors house the mayor was late. Chales asked the other reporters why and someone said it was because the mayor claimed he was picking up his daughter. People made sure to include that that was not something he normally did. Charles ended that conversation with a remark \""too bad the mayor is a crook\"". He ran into Johhny Pratt who was looking for his American express card. Chales said he hasn't seen it.When the mayor arrived chales was trying to get the best photo. he didn't want the mayor smiling. To ensure this wasn't the case he asked for the mayor to smile for the camera. The Mayor, frank, sneered at the camera. Chales thought this was his big break that would get him promoted to photographer editor. He then met uo with his mom at a park on a bench. He apologized for missing last weeks meeting. His mom offered half her tuna sandwich to chales which he took. She expressed concerns that Chales wasn't happy which he replied he'd be happy once he got that promotion. She wanted him to find a girlfriend. He said that he was going to get his big break and that his photo was going to be in today's paper. his mom claimed someone sent her todays article and that there wasnt any photo. He said that can't be true. He looked on her phone and sure enough his photo wasn't there. He got upset and said he had to go. Once he was at the office he went to go check the printed paper. The paper included a photo of the smiling mayor. He went to his boss's office to fix this mistake but he was in a meeting and the boss's secretary wouldnt let chales in even when he claimed it was an emergency about today's paper. The Secretary said it wasn't much of an emergency as the paper has already been released and not much can be changed now. Chales kept pressing but the secretary snapped at him and he went to go take a seat. When the boss finally let chales in he asked about todays paper and claimed there was a mistake and it needed to be fixed. His boss said there was no mistake. They had to boy that photo because chales couldn't do his job. Chales realized that he didn't actually sedn the photo. He said nevermind and left realizing he wouldn't be able to get the promotion. ""}",1004298.1,NA,534
405,10,Beatrice,unrelated,short,sideplot,"{""Q0"":""When we first meet Beatrice Small, she had issues with her girlfriend, and asked for advice from Charles Bort. She did not have many scenes in the story. Her second scene involved her running into Charles with a cast around her arm. She told Charles that she was biking in a race and fell. As she fell, she broke her fall with her arm and broke that. Charles asked if she was ok. She said it did not hurt that much and she continued and finished the race. She was happy the injury wasn't much worse and glad she finished the race. Afterwards, she invited Charles to go biking with her sometime.""}",350202,NA,112
405,10,Johnny,unrelated,long,sideplot,"{""Q0"":""Johnny Pratt's first scene was in the newspaper office that he and Charles worked at together. Johnny was having issues with his boyfriend and was worried his boyfriend was going to move out. He lost his grandmother's famous mashed potato recipe, the one he was hoping to make and mend his relationship with his boyfriend and was looking for it when Charles asked him what was wrong. Johnny was distraught and distressed and worried he was going to lose his boyfriend. He looked everywhere around the office for the recipe but could not find it. It was the only copy he had from his grandmother. In his second scene, Johnny came to Charles even more distraught. He had been kicked out of his apartment with his boyfriend as he didn't find the mashed potato recipe. He was also in trouble with the bank and was broke for a reason he did not know. He asked Charles if he could crash at Charles' place and Charles said yes. Johnny looked beaten down, tired, dirty, and scared.""}",289288.9,NA,175
405,10,Melvin,coherent,short,sideplot,"{""Q0"":""Melvin Doyle talked to Charles Bort on the phone twice. Melvin first called Charles before his audition for the play Hamlet. He was auditioning for both Hamlet and Ophelia and rehearsed two separate voices with Charles. Melvin had prepared two different monologues- the famous \""To Be or Not To Be\"" speech from Hamlet and Ophelia's monologue which he recited in a high falsetto. The second time he called Charles was to tell Charles that he had gotten the role as Ophelia and showed off his falsetto voice once again. He was very excited about his triumph and let Charles know that the play was happening in one month and asked him to come to the play. Charles said he would be there and that made Melvin happy. Each time Melvin spoke in Ophelia's voice, music notes appeared on the screen and it looked like Melvin was singing. ""}",286273.4,NA,148
405,10,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra Mayes also had two scenes with Charles Bort. The first one, she called for advice. She had just gotten set up on a blind date with a man who was funny, charming, charismatic, and what she was looking for. The only thing was he didn't have a picture and did not know what he looked like. She also told Charles that her friend went on a blind date with a man in a leather jacket who broke her heart. She said that if her date was the man with the blonde hair and leather jacket, he would be sorry. Sandra asked Charles what she should do and he said that she liked this guy over conversation so she should go on the date with him.\n\nThe second scene was when Sandra called Charles 20 minutes after she was supposed to meet with her blind date. Her date did not show and she was wondering if she had been stood up. Charles told her to leave and she deserved better than whoever that man was. Sandra took Charles' advice and left the restaurant. As she was leaving the restaurant, she passed by the man in the leather jacket and blonde hair. She scoffed and passed by him. It could be inferred that the man was in fact Sandra's blind date.""}",294426,NA,219
405,10,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort is the main character of the story. He is a photographer for the local newspaper and is looking for a big promotion to photo editor. The day the story begins, he is waiting to hear when he will go to Mayor Hayes' press conference. The mayor is a part of a big fraud scandal and has been avoiding many questions, so Charles is ready to catch him in his big break. Charles' boss tells him the press conference is in 20 minutes at city hall. Because Charles could not get there in 20 minutes, he grabs his camera, lens, and extra batteries and takes his boss' bike. When he gets there, the mayor is not there even though a bunch of reporters are waiting for the mayor. Charles made his way to the front of the crowd to get a good spot in front of the mayor. When the mayor appears, Charles yells \""smile\"" and the mayor gives him a look. Charles got the perfect picture for his article and left. Later, Charles had lunch with his mother, Esther at the park. He told her that he was very excited about his possible promotion because he had the perfect picture to go along with the article. She was supportive, but then asked Charles about the article. She said his picture wasn't there. Angrily, he looked at the article and saw that his picture was not there- it was a different one. He went to his boss' office to ask about the picture and the promotion when he was stopped by the secretary. She said his boss was in a meeting. When the meeting was over, he stormed in and asked his boss about the picture. His boss said he never got a picture from Charles and had to buy another one. He said Charles should be happy he didn't get fired. Startled, Charles checked his email and realized that he did not press send on the email with the picture. The story ends with a sad Charles thinking about his missed opportunity.""}",457207.5,NA,344
406,31,Sandra,coherent,long,sideplot,"{""Q0"":""She had an art show coming up and she made murals. She knew that the short woman in the red blazer who was I think an art critic did not like murals so she tried to avoid her. She ran out immediately when she saw her coming in at the end of the art show when she was on facetime with Charles. There were many people who wanted to commission her to make a painting for them after they loved her work at the gallery. I think it was like 10-15 or maybe 12 people loved it. She wanted Charles to come to her art show but he did not make it.""}",232571.3,NA,112
406,31,Beatrice,unrelated,long,sideplot,"{""Q0"":""She called Charles and needed money. I think it was for a bike race because she was just diagnosed with arthritis or something like that and the doctor said that exercise was good for her to do. She wanted to push herself to the extreme and take part in this race but needed $100 by the end of the hour to enroll. Charles offered to give her $50 for the cause and she said that that would be very helpful. She also might have been the one who was going to be evicted if she didn't pay her rent and she was short there too but that also might not have been her. ""}",182998.2,NA,114
406,31,Melvin,coherent,short,sideplot,"{""Q0"":""Melvin was the one who set his house on fire when he was cooking pizza and got locked out of his apartment. He lost his key and was going dumpster diving when he facetimed Charles and was showing him. He was in a white coat that got all dirty from the dumpster. The fire department had to come and put out the fire in his kitchen. The pizza was totally ashed and he said that who knew burned cheese tasted good. Melvin asked Charles for any connections for cleaning services he had and to forward them his way because he needed to take care of his charred kitchen. He got distracted and left the house with the oven still on which caused this mess. ""}",205542.9,NA,125
406,31,Johnny,unrelated,short,sideplot,"{""Q0"":""Actually I think it was Johnny who needed the money for rent by the end of the day and called Charles. I clearly remember the least about him though. ""}",180759.6,NA,30
406,31,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles was the main character of the story. He was a photographer for this journalism or newspaper company. He was offered this opportunity to photograph the mayor and for it to be featured on the cover of the magazine and he was ecstatic because he thought that this was his chance to prove his worth and even get a promotion. He was incredibly disappointed when he was in the park talking with his mother and checks the article that his photo was supposed to be posted on and it was not there. He confronted his boss about it, and his boss was mad at him because he never received the photos from him after he was given this great chance and he realized that after all of this he forgot to hit send on the email and so it was his fault that the photo was not posted and was the wrong one. In  the end, they had to pay money to get the photo because they needed it from another photographer who they then had to pay. Charles worked in an office where he has manilla envelopes and pictures of photographs to study and learn the angles off of in order to improve his own work. He was dedicated to his job and got the perfect shot of the mayor when he called out to him to smile. Charles is very helpful and tries to be there for all of his friends regardless of the situation and how busy he might be. Although he said he was not rich he still lent his friend $50 so that they could enroll in this bike race competition for exercise. For another friend, before given the opportunity to photograph the mayor, he decided to be a good friend and said he would show up and support his friend at their art show because she was nervous especially how the critics would react to her murals. He was constantly reassuring her. Charles also tried helping another friend whose house was burned from a fire started by a pizza in the oven, by sending over cleaning service contacts he had. He also was talking with another journalist there while waiting for the mayor and I thought that they were flirting. His office environment seemed pretty supportive and collaborative and he shared a room with 2 other employees and his desk was in the middle of the room. There was a cat calendar on the wall of their office behind one of his coworkers. After he got the photos of the mayor he rushed back to his desk and downloaded them all on his computer and started finding the most perfect one. He had two cameras one was black and one was a greenish camo with a large lens. I think they were nikon cameras. ""}",681349.6,NA,472
407,11,Melvin,unrelated,short,sideplot,"{""Q0"":""He video-called Charles and had on a Shakespheare costume. The costume was red and white. He told Charles why he was wearing the costume and it was because he was auditioning for a play. He was telling Charles, his friend, about his play and how he was dreaming about what role he would be. He sang a little bit during the call. I also think that Melvin had a boyfriend. ""}",196509,NA,71
407,11,Johnny,coherent,long,sideplot,"{""Q0"":""Johnny Pratt was looking for his mashed potato recipe that either his mom or grandma hand-wrote for him. He asked Charles Boyle if he had seen it anywhere at work. Charles said no and then asked why it was so important. Johnny told him it was a special family recipe and that he wanted to make the mashed potatoes for his boyfriend. He eventually found the recipe later and called Charles to ask about hotels or something because his boyfriend then realized he was being hard on Johnny, so he wanted to go on a trip to Hawaii. ""}",182981.6,NA,99
407,11,Beatrice,coherent,short,sideplot,"{""Q0"":""Beatrice Small called Charles Boyle to tell him about her dilemma. The dilemma was that she and her girlfriend wanted to adopt a dog. They were between a corgi and lab. Charles suggested that Beatrice and her girlfriend go to the animal shelter together. Beatrice did not want the lab, she even said that if she went home to find a lab, she would leave and break up with her girlfriend. Low and behold, she went home and found a lab with a pink collar. So, she left her girlfriend and then later called Charles to tell him. She didn't seem sad or anything. Now she was looking for a single bedroom apartment. Charles asked if she needed anything and she said sure! if you know of any single bedroom apartments let me know. ""}",191654.3,NA,135
407,11,Sandra,unrelated,long,sideplot,"{""Q0"":""Sandra Mayes called Charles to tell him about her love life. She was about the go on a blind-date. She was pretty hesitant about it, saying things like: well what if this is the guy that broke my friends heart and is now going to break mine (something like that). She was also saying things like I want to know who this guy is, and Charles stepped in and said well... isn't that what a blind date is. At one point she also had a thought bubble of a blond motorcycle dude who had an earring. ""}",182317.2,NA,97
407,11,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort was a photographer. He was trying to get a raise. His boss told him he was to go to city hall to get a picture of the mayor (who was in a scandal). Charles knew this was his big break. But, his boss told him right on the spot so Charles said \""how the hell am i supposed to get to city hall in ten minutes\"". His boss lended him his bike and Charles biked to city hall. The mayor was late, so Charles asked another photographer what the delay was about (something about him dropping his daughter off at school). Charles got the picture he wanted and was really proud and happy with himself. He rushed back to the office to check them out. At his desk he cheered and everybody looked at him. Charles had a messy desk and camo camera. He also ate greek yogurt. He was wearing a yellow scarf and brown jacket in the beginning and then a hat and matching suit thing in his second outfit. Charles also ended up having lunch with his mom, they ate the moms tuna sandwich. It was in the park and was a nice day. His mom asked if he had someone special in his life, Charles was only concerned about his work and money. Charles told his mom about his likely promotion. His mom was confused because she said she never saw the picture in the article. Charles quickly went on his smart phone and looked up the article. The picture was not right. Charles was really sad and upset because that meant no promotion. Charles ran to his boss to try to resolve the problem. But, it was too late. Charles received a lot of phone calls and video calls from his friends. He was a good listener. ""}",389723.8,NA,305
408,26,Johnny,unrelated,long,sideplot,"{""Q0"":""This man's name was Johnny Pratt. He was a character in the scenes and I remember that he had a boyfriend and had some problems that he discussed with his friend over the phone. I remember that he was in several different scenarios but I can't exactly remember the topic that they were about. I'm pretty sure that he was upset about something.""}",182116.2,NA,63
408,26,Beatrice,unrelated,short,sideplot,"{""Q0"":""I have a hard time remembering almost anything about Beatrice. When I saw the picture I could only remember her last name, Small, before I read her name on the screen. I do recall seeing her in a couple different situations and it involved a phone but I can't remember what she was talking about or who she was talking to. I feel like her character didn't have much importance and that may be why I can't remember much about her.""}",181523.7,NA,81
408,26,Sandra,coherent,long,sideplot,"{""Q0"":""I remember that Sandra was involved in a situation with an art show or perhaps a gallery? She was speaking on the phone with another person to figure out details for this art show and I believe she was either the director or the one trying to organize the event. I think at some point she was wearing a pink dress with flowers on it, but she didn't have a lot of appearances. I want to say that she was stressed or worried about something but I can't quite remember what.   ""}",190220.2,NA,94
408,26,Melvin,coherent,short,sideplot,"{""Q0"":""I think that Melvin was wearing a blue jacket in one of the scenes that he was featured in, but I am struggling to remember what kind of topics he was involved in. I know that one character was having problems with their credit card and bank and I'm not sure if it was Melvin or a different person. I know that this person was a man though. The situation involved this person's credit card being cancelled and they were unable to pay something, I think maybe a house payment, to the bank. Again I'm unsure if this person was Melvin or a different character. ""}",180907.4,NA,106
408,26,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort was the main focus of a story. He was an employee at a newspaper company and his task in the story was to take pictures of the mayor. I remember that he was wearing a jacket and a yellow scarf, his work desk was messy and had lots of papers/files on them, and he was eating greek yogurt. When he got his assignment to take pictures of the mayor he went out to city hall I think about 20 minutes after leaving his office and there was a large white building with a podium on it where the mayor was to stand. When Charles was done taking pictures for this event he was very excited because he thought that this pictures could possibly earn him a promotion. He went back to his desk to look at the pictures and I think he sent them to either his boss/newspaper editor, but it was definitely someone in a superior position to him. When he looked at the pictures later on he realized that it was not the picture that he sent in and was very shocked and angry. His boss then told him that he never completed the assignment and they had to use someone else's picture for the article. Charles was very surprised, but then he realized that he never actually sent the pictures in. Charles was very angry that this happened and that it was his own fault, and was upset that he would not receive the promotion that he was hoping for, as he believed his pictures were very good and it would earn him this honor. I also believe that his camera was green and pretty long, the mayor and his boss both had glasses, and there was a red car somewhere in this scene. Charles was also in all the conversations with the other characters and he was usually talking on the phone with them. I have a hard time recalling those conversations though. ""}",497424.1,NA,330
411,12,Johnny,coherent,long,sideplot,"{""Q0"":""He is a friend of Charles. He might want to do something for his boyfriend?""}",197470.5,NA,15
411,12,Melvin,coherent,short,sideplot,"{""Q0"":""Aspiring thespian. Wanted to play Othello or Ophelia, ended up playing Ophelia, doing so by speaking in a falsetto. He was rehearsing in Victorian garb, practicing the \""to be or not to be\"" soliloquy from Hamlet. He got the role, and was excited for it. ""}",184165.3,NA,46
411,12,Sandra,unrelated,long,sideplot,"{""Q0"":""Asked Charles for advice about something, what that something was I can't remember. ""}",180629.7,NA,14
411,12,Beatrice,unrelated,short,sideplot,"{""Q0"":""She had an argument with her girlfriend about getting a dog. Charles suggested going to the animal shelter and she thought that was a good idea. Later injured her arm while biking but finished the race anyways, and she said it didn't bother her when asked. Her arm was wrapped in gauze, but I don't think she had a cast. ""}",204741.5,NA,61
411,12,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Photographer at the city newspaper. Had a brown overcoat and yellow scarf. Really wanted that promotion. Has a good relationship with his mother, and his friends call him frequently. was excited to show his great photograph with the world but forgot to hit send on the email to his boss. His desk was pretty disorganized, his files were kind of messy. His mood decreased as the story progressed. He takes public transportation, the bus. Met with his mom at the park. He goaded the mayor into getting a good reaction out of him by telling him to smile. He also crouched down to create a dramatic angle for the photo. At the end he recognized that he messed up and is dejected. Believe he had jeans on also(?) ""}",362841.8,NA,129
412,31,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra is an artist. She was speaking to Charles on the phone about an art event. She was conflicted because an important art critic/ important person in the industry was going to be at the event. She was concerned because this person, who wore glasses and a red sport coat, was known for following artists around if she liked their work. She did not want to be followed. Her art was being shown at this event, and I believe she made posters. She was calling Charles for advice. This art critic could help her career, but she was weird. ""}",227851.2,NA,100
412,31,Melvin,coherent,short,sideplot,"{""Q0"":""Melvin was talking on the phone with Charles. He had gone on vacation recently with his boyfriend to a tropical looking place. Charles was talking to him about the photo of the mayor. ""}",203803.3,NA,34
412,31,Beatrice,unrelated,long,sideplot,"{""Q0"":""Beatrice was the first person that Charles talked to on the phone. She was calling to ask about a bike race. She was looking for donations. Charles said that he didn't have any money that he could give her but asked for more details. Beatrice said that she had a medical condition that started with a C. Her doctor had told her that physical activity could help with this condition. Physical activity supposedly helped with pain. Charles pointed out that she was kind of going to the extreme by doing this long bike race, and they laughed about it. She called one more time later on. ""}",236740.9,NA,107
412,31,Johnny,unrelated,short,sideplot,"{""Q0"":""Johnny first spoke to Charles on the phone. Charles was asking to borrow money, and Johnny said that he didn't have any. He was behind on the mortgage payments for his house. He was embararassed about this. Charles ended up going to an ATM. Later, Charles saw Johnny at the mayor's speech. They talked before the speech began. ""}",220771.9,NA,59
412,31,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles was the main character of the story. He had interactions, whether in person or over the phone with all of the characters, including Johnny, Sandra, Beatrice, and Melvin. Charles is a photographer at a newspaper and wants to be promoted to editor of photography or something similar. He wants to show the true personality of the mayor, who is always portrayed as being kind and friendly. Charles doesn't believe that this is true and wants to photograph the mayor at his next speech. He thinks that this photograph could earn him his promotion. He takes his camera, which is a nikon, and goes to the speech. When the mayor is talking, he provokes him by saying something like \""Smile!\"" and takes a photo of him looking angry. He is satisfied with this photo. He speaks to Johnny Pratt at this speech. He later meets his mom for lunch in the park and offers to split his sandwich. His mom is crying and he is comforting her. He wants to show his mom the photo, which he thinks will be on the front page of the newspaper. He pulls it up on his phone, to find that it isn't there. He is confused. He goes to talk to his boss, and finds that the photo isn't on the print version either. His boss is in a meeting and he talks to the secretary. When his boss comes out, he tells him that he didn't do his job correctly. He never submitted the photo. Now, he is worried that he won't be able to get his promotion. He is upset about this. ""}",370919.1,NA,272
413,24,Beatrice,coherent,short,sideplot,"{""Q0"":""Beatrice Small has arthritis. She wanted to race in a bicycle race because moving and exercising made her feel better. However, Beatrice needed $100 dollars to be in the race, which she asked Charles Bort for. Charles said he didn't have that kind of money, so instead he gave her $50. When Beatrice called Charles to ask for the money, she was wearing a green shirt. During the race, Beatrice lost control of her bike and injured her left wrist. However, she pushed through the pain and continued the race, riding until she completed it. She met with Charles, and he asked her about her wrist. She said it was the least pain she had ever felt in her life, and she felt amazing. ""}",212794.9,NA,125
413,24,Melvin,coherent,long,sideplot,"{""Q0"":""Melvin Doyle called Charles Bort while Charles was at work. In the phone call, Melvin talked about how he had just climbed in a dumpster. Unfortunately, he had on a white coat, which was now dirty and covered in garbage. Melvin told Charles that he had lost his house key in the dumpster, which was why he climbed in the dumpster. It was important for him to find his house key because he was making a New York style pizza at home, and he believed that he had left the oven on. \n\nLater in the story, Melvin called Charles again and asked if he had any good cleaning service recommendations. This was because a grease fire started in his kitchen, and he wanted to hire someone to help clean it. Fortunately, the grease fire didn't damage anything else because the fire department had a spare key to Melvin's house. Charles told Melvin he would ask around for good cleaning services. ""}",237939,NA,161
413,24,Johnny,unrelated,long,sideplot,"{""Q0"":""Johnny Pratt ran into Charles Bort and asked Charles if he had come across a green American Express credit card. Johnny had lost his credit card, and it was important that he found it because he was late on a mortgage payment. Technically, he should not have been able to make a late payment, but the bank said he could so long as he paid with a credit card. \n\nLater, Johnny called Charles Bort and asked if knew of any good prices to Hawaii. Johnny's boyfriend was surprising him with a trip to Hawaii as they have been having some relationship problems, and the trip was supposed to help them with those problems. Charles told Johnny he would keep his eye out for good plane ticket prices. ""}",210628,NA,128
413,24,Sandra,unrelated,short,sideplot,"{""Q0"":""Sandra Mayes was an artist. She called Charles Bort and shared how she was nervous for her mural art show. She was nervous because there was going to be an art critic there who didn't really like murals. Sandra did not want to talk to the art critic. Typically, when the art critic found an artist she liked, she would follow that artist and talk to him/her all night. The art critic had a short black, bob-length hair cut with fringe bangs, a red coat, and tinted round glasses. She looked very similar to Edna from the Incredibles movie. Sandra said it might be good if Charles came to the show because that way he could keep the critic away from her, and she would not have to talk to the critic. At first, Sandra had on a yellow shirt. \n\n\nLater, Sandra was wearing a really tacky pink shirt with yellow and orange flowers and a pink skirt. She called Charles because she was upset that her date stood her up. As she was walking out of the restaurant, she walked past a man with long blond hair wearing a black jacket. \n""}",305028,NA,193
