subject,version,character,coherence,lag,plot,response,rt,word_count
311,7,Sandra,coherent,short,sideplot,"{""Q0"":""She went on a blind date and the guy showed up 20 minutes late, but she left when she saw that he was wearing a leather jacket and had long hair. She had called Melvin when she was waiting for him to show up and was telling him how upset she was that yet another man didn't show up for their date. It was a coffee date I think. She seemed really sad.""}",181281.7,73
311,7,Johnny,unrelated,long,sideplot,"{""Q0"":""Johnny Pratt was not super relevant and also looks just like the other white guy in the story, so I don't remember much about him. I know he wasn't the theater kid and also wasn't the photographer, but I can't seem to remember him. I think he called the photographer at a point, but I can't remember what he was complaining about (they were all complaining about something). Oh wait I think he was the one sitting on a park bench with his mother. Wait no nevermind that was the photographer.""}",186966.3,91
311,7,Beatrice,unrelated,short,sideplot,"{""Q0"":""She has a wife I think. She also probably talked on the phone with the photographer. She was near the end of the story and I started losing focus by then. I'm sure she's a great gal but I don't remember much about her. I'm pretty sure she wasn't complaining though (most of them were). I'm better at remembering emotions than I am actions.""}",180981.3,64
311,7,Melvin,coherent,long,sideplot,"{""Q0"":""Melvin Doyle was the man of the story in my opinion. He auditioned for Hamlet and got in! There weren't that many people auditioning, so he got a one-man show. He was so happy and proud of himself. He wore a funny looking outfit too. When he found out about getting in, he called the photographer and asked him if he had plans next month because that's when his show is gonna be. The photographer was happy for him and he didn't even mention the stress he was going through to Melvin. Melvin was so happy about getting in and he really deserved it because he clearly worked his ass off to memorize all those lines. ""}",180846,117
311,7,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort was the photographer. He was clearly the main character and super popular amongst his friends because they were calling him 24/7 throughout the day. He literally had so much crap going on, but he was still there for his friends. Clearly a super empathetic guy. Anyways, he's a type of journalist photographer and during the story, he wanted to take a picture of the mayor because he thought that would get him a promotion. He was so psyched for this picture because the previous year he didn't take a good one (the mayor was smiling in it... I don't know why that's a bad thing though). Anyways, Charles goes to the mayor's big speech and kneels close with his big ass camera (it had a huge zoom lense) and he said \""Mr. Mayor! Smile!\"", or something like that, and he took his picture. When he went back to his cubicle, he immediately opened up his camera and chose his favorite picture of the mayor. He emailed it to the boss of the newspaper, but when he sat on a bench with his mother later that day, his mom told him that she didn't see a picture of the mayor with the article. He immediately started freaking out and when he went to his boss to talk to him about it, his boss said that Charles dropped the ball and wouldn't be getting a promotion. Charles then remembered that he never clicked send on the email and was super upset at himself about it, knowing that he wouldn't get his promotion and it had been his fault for not sending the picture in.""}",372770.9,274
312,32,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra Mayes is an artist who recently had an exhibition that she wanted her friend to come to. She was nervous about a lady in a red sportcoat because she was a high powered individual who had a lot of influence on her career. She accidentally missed seeing / speaking to the lady in thew red coat when she arrived because she was on her phone speaking with her friend. ""}",180902.8,71
312,32,Johnny,coherent,short,sideplot,"{""Q0"":""Johnny desperately called his friend after losing his credit card. He missed a payment to the bank and was fearful that he would lose his house. The bank said he could keep his house if he paid the money he owed via credit card. This is why he desperately wanted to find it. I think he asked his friend to help him search for it but I'm not sure. Maybe he just wanted to rant to his friend. ""}",221643.3,79
312,32,Melvin,unrelated,short,sideplot,"{""Q0"":""I don't really remember anything.""}",183005,5
312,32,Beatrice,unrelated,long,sideplot,"{""Q0"":""Beatrice wanted to run a marathon because her doctor said using her muscles in that manner would help her arthritis. She unfortunately hurt her back or some part of her body and was telling her friend about how she wouldn't be able to race anymore. ""}",187371.1,46
312,32,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles worked for the newspaper as a photographer. He was sort of the central figure in this narrative. He was super eager to advance his career by highlighting a story about the mayor's corruption. He yelled to the mayor something along the lines of \""give me a smile\"" and the mayor glared at him. So, he took a picture of this moment. As we would find out later, he never actually sent the email of this photo to his boss at the newspaper, so the photo was never published. Instead, the paper published a picture with the mayor smiling that they bought. Charles spoke to his mom about being very driven to advance his career and get a promotion, but his mom was more worried about him being happy. She asked if he was seeing anyone romantically while they shared a turkey sandwich. Charles was very disappointed to learn that he never sent the photo he took of the mayor. Charles wore a really bright, sorta ugly, yellow scarf that made me think he was possibly gay. Charles speaks to his friends pretty frequently and helped them navigate through their unique issues. Charles's desk was sort of messy with stacked papers i believe. he also uses a fancy, bulky camera. charles didn't think his mom had a point of making sure he was happy. he thought if he just got promoted, then he would be happy. ""}",382766.8,237
314,22,Beatrice,coherent,short,sideplot,"{""Q0"":""beatrice something\ncalled the main character at some point in the story\nbiking race participant\nwanted the main character to sponsor her for $100 so she could participate in the race to aliviate her arthritis, she ultimately only got $50 from him but was able to participate in the race\nduring the bike race, her bike skidded and she fell off, hurting both of her arms, which were later in casts when she met up with the main character\nshe looked back on the race experience positively despite her injuries, saying she felt good\n""}",182203.4,89
314,22,Melvin,unrelated,long,sideplot,"{""Q0"":""Melvin first fell into a garbage can looking for his keys, and asked charles if he had seen them. he got his white lab coat all dirty. \nhe also called charles at some point later in the story again""}",186686.8,39
314,22,Johnny,coherent,long,sideplot,"{""Q0"":""Johnny prat was looking for his credit card when we are first introduced to him. He needs his card to make a mortgage payment which is late, but cannot find the card and risks getting evicted if he cannot make the payment at by the end of the day with the card. This is stressful for him because the bank is only open for a few hours and he must find his lost credit card. He later calls Charles and asks if he knows a lawyer who works on financial cases, presumably because he has run into trouble with the house situation. He says that the lawyer must be okay with no payment up front, because he is broke. He also asks charles if he can sleep on his couch for a little while, to which charles agrees. ""}",181982.6,139
314,22,Sandra,unrelated,short,sideplot,"{""Q0"":""Sandra meyes calls charles at the beginning of the story to ask charles to come to her mural exhibition. Presumably she is a muralist, and she is nervous because a harsh critic who wears a red coat is coming, and the critic typically does not like murals. She wants charles to come either for moral support or to distract the critic. He agrees to come. In the second phone call to charles, she describes how she is intending to have a date with a man but she has been waiting for 20 minutes and he hasn't shown up, to which charles says she deserves better. She decides to leave the cafe/restaurant, and is met in the doorway by a punk looking guy with a leather jacket. ""}",181325.1,127
314,22,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles bort is the main character of the story. He works as a photographer at a news paper, and is often seen sporting a yellow scarf. The day the story starts, he is anxiously awaiting the opportunity to take a picture of the governor at a press conference, where he is hoping to visually represent the shady deeds the mayor, facing impeachment, has been charged with. On the day of the shoot, he gets calls from his various friends--beatrice, marvin, sandra, and johnny who each tell his about their specific problems on the day, and he always seems ready to help. During the shoot, he asks the mayor to smile sarcastically, and then captures the perfect shot he was hoping for. He is excited, and hopes the photo will gain him a promotion. He later speaks to his mom Ethel about how he is hoping to get a promotion, but has not been approached yet and that makes him worried. He then sees the picture of the article on her phone, and realizes that the photo he shot was not included at all. He is livid, and goes back to the office to confront his boss, who is in a meeting. After the meeting, he bursts in and inquires about why his picture wasn't included. His boss responds that he never sent in any of his photos, and they had to buy the pictures from an outside source. He is deviated when he realizes that he never actually hit send on the email which included the pictures, and then understands why he didn't get promoted. ""}",395075.9,266
315,16,Johnny,coherent,short,sideplot,"{""Q0"":""Johnny Pratt was looking for his potato salad recipe, he ended up finding it when he called Charles Bort for a second time. Johnny wanted to cook for his boyfriend and that is why he called Charles to see if he knew where his recipe was. In one of the scenes, Johnny was wearing a sweater with a scarf. Johnny offered to give Charles some of his potato salad and Charles recalled that he always loves Johnny's cooking.  ""}",182596,80
315,16,Beatrice,unrelated,long,sideplot,"{""Q0"":""Beatrice Small and her girlfriend were in a fight and her girlfriend thought that the best idea would be to buy a dog. Beatrice wanted one type of dog and her girlfriend wanted another, and Beatrice swore to Charles that if she ended up having to get a certain type of dog with a collar she would leave her girlfriend all together. Beatrice could not decided the best way to decide which kind of dog to get so she calls Charles and he tells her that the best approach would be to go to the kennel and just pick up a dog that they both enjoy. ""}",182589.3,107
315,16,Melvin,unrelated,short,sideplot,"{""Q0"":""Melvin Doyle is an aspiring actor that was dressed in an Elizabethan gown and trying out for a position in Shakespeare's Hamlet. He notes that because there are not that many other actors trying out for the role that maybe he will be awarded the role of Hamlet. Melvin also calls Charles to ask if he has any recommendations about cleaners because there was a small fire in his kitchen and he needed cleaners to help him out. In one of the later scenes, Melvin was wearing a sweater with stripes on it when he reached out to Charles to ask him the questions he had. ""}",183773.3,107
315,16,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra Mayes was set to meet a man for a blind date. She is having some second thoughts about the date and calls Charles to see if he has any recommendations on how she should handle her situation. Sandra tells Charles that she is paranoid about seeing the man that screwed over her friend. Sandra describes this man as having long blonde hair, wearing a leather jacket and having a beard. Unfortunately, one of the times that she goes on the date she is stood up by the man and as she is walking out she catches a glimpse of the man that messed up with her friend. She calls Charles to tell him about her predicament and complains to him that she is having some serious relationship issues and that she just wants a man to treat her right.""}",182037.8,140
315,16,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort is the main character of the entire plot. Charles works for a newspaper and is trying to become main photo editor. He hopes that he can find his big break by photographing the mayor and exposing him for his genuine violations of the law. Charles is always fashionably dressed and in many scenes is wearing a sweater with a scarf. Charles has greek yogurt for breakfast one morning and has manilla folders on his desk. He is a photographer and has a green camera. There is a red photo advertisement for a musician hanging in his office. Throughout the day, Charles is inundated by calls from his companions and has to provide feedback to their many questions. To a certain extent, this gets in the way of Charles being able to focus on his goal. When he gets to the city hall and gets ready to photograph the insidious mayor, he yells, \""Smile!\"" and gets a photo of the mayor in genuine shock. Charles then runs back to the office and begins to upload his photos. He prepares the best image he can find and adds it to the article. He then leaves to to get lunch with his Mom. He finds out then that he forgot to press send on the article. He rushes back to the newspaper headquarters and tries to go see his boss but he is stopped by the secretary. He is wearing a gray sweater and a yellow scarf. The secretary turns him away and he has to wait until his boss is ready. Once he is ready, Charles is told that the newspaper had to buy another photo because Charles forgot to press send on the article. ""}",404435.1,286
316,26,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra is a painter. Recently she had a showing of all her murals. She was stressed out because the critic in the red jacket was going to be there, and doesn't like murals. This poses a problem because all the other critics/potential buyers listen to the one in the red jacket. She calls Charles and asks if he wants to come to the showing so that he can distract the lady in the red coat. Later, she calls Charles again to tell him how the show went. She is at a restaurant and asks him if he knows any hot singles and to let her know if he finds any one bedroom apartments. Then she leaves the restaurant, but sees the lady in the red coat, so she puts her head down and avoids eye contact. She might be the one who asked for $100 to enter a marathon for her chronic illness with a long name? But that might be Beatrice. Not sure. ""}",306471.4,165
316,26,Beatrice,unrelated,short,sideplot,"{""Q0"":""She is the other option for who might have needed $100 for a marathon. I know she talked with Charles once or twice. She wasn't in very many stories. ""}",192266.2,30
316,26,Melvin,coherent,short,sideplot,"{""Q0"":""Melvin lost the keys to his house. He had a new york style pizza in the oven when he got locked out. He went dumpster diving and ruined his white jacket to try and find the keys. He couldn't find them so he had to call the fire department. Luckily, they had a spare key to his house so they could put out the fire, but he still has a charred oven and countertop. He asked Charles for a recommendation of cleaning people so that he could clean up the mess. ""}",186637.7,92
316,26,Johnny,unrelated,long,sideplot,"{""Q0"":""Johnny was behind on paying back some loans. He was very stressed out because the bank gave him an extension to pay, but only if he was going to use a specific credit card. Johnny had lost the credit card and could not find it. The payment was due in a couple hours so he called up Charles to see if he had seen the card anywhere. Charles had not, so Johnny went off to keep looking for the card. At some point Johnny also sent Charles a text, and they seem like buddies. I think Johnny has a daughter. ""}",185691.8,101
316,26,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles works for the local newspaper company. He takes photos and writes articles and is hoping to get promoted to an editor position. He is covering the story of the mayor's impeachment and is told to go take pictures of the press conference. He only has 20 minutes to get there, but his boss gives him a bike. He gets over there in time and sets up his camera right in the front. His camera is camo-patterned. The mayor doesn't get there until late, so he starts chatting with the other reporters and finds out the mayor is late because he was picking up his daughter. Charles tells the mayor to smile, and receives a glare. Charles is excited because this is the picture he needs to get promoted. He hurries back to the office and is super excited. He puts the picture in an email, but forgets to hit send. His desk is messy, with lots of papers. He eats greek yogurt. I think his picture taking was on a Tuesday. Later he gets on the bus and smiles at the driver, but the driver does not respond. He is on his way to meet his mom at the park. When he gets there they split a tuna sandwich and his mom asks if he is happy right now. He says sorry for missing the last meeting, but he will be happy once he gets the promotion. He tells her to go check today's article because he took the perfect photo. She checks the article online, but there is no photo. He starts freaking out and rushes to the office. He gets to the editors office, but he is busy and the secretary won't let him in. When he finally gets in he tells the boss his problem. Here he finds out that he forgot to hit send on the email with the pictures. He will not be able to get a promotion. He also donated $50 to sandra (or beatrice?) so that they could enter an upcoming marathon to help with their pain. His mom also asked if he had any special ladies in his life. He does not. Charles is friends with Melvin, Johnny, Beatrice, and Sandra.""}",505815.4,370
317,18,Johnny,unrelated,short,sideplot,"{""Q0"":""Johnny Pratt called Charles Bort a couple of times. He had accidentally lost his key to the house and was unable to get back in. He also had a pizza cooking in the oven and there was a big mess when he was finally able to get back in. He had also traveled with his boyfriend. ""}",198462.9,57
317,18,Sandra,coherent,short,sideplot,"{""Q0"":""Sandra Mayes gave Charles Bort a call. During these calls she would talk about an issue that had come up. She was also intimidated by a woman in a red dress that would follow someone around if she liked their art. During one specific call, she had wanted Charles Bort to come to where she was so that she would feel more comfortable. The woman in the red made her uncomfortable even though her night was going well. Sandra Mayes' story ended with an encounter with the woman in the red, however, no dialogue was shown.""}",228810.3,96
317,18,Beatrice,unrelated,long,sideplot,"{""Q0"":""Beatrice Small was not a character that was shown very often in this story and there wasn't many scenes with her. She also made a call to Charles Bort.""}",181915.8,29
317,18,Melvin,coherent,long,sideplot,"{""Q0"":""The scenes that included Melvin Doyle was when he would call Charles Bort. He and Charles conversed about an issue he is having with his home. The topic came up when Melvin had asked Charles if he knew of the American Express Credit card. He needed a credit card in order to pay for his home and he was having a lot of issues with getting this payment. On top of that, he had to make a payment within the day. Melvin Doyle had a lot going on in his life.""}",194659.2,91
317,18,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort works inside of a room that has gray walls surrounding it. He was also wearing a yellow scarf and had a lot of vanilla colored files on his desk with post it notes on it as well. Charles Bort needed to get the perfect picture of the mayor. When he got to where the mayor was speaking, he did not see the mayor for a little while. Expecting him to come anytime soon, the mayor came up behind all the journalists in a car. Another reporter had asked a question to the mayor and Charles Bort yelled out \""Smile!\"" to the mayor. Charles was finally able to get the perfect picture that he had wanted and was excited as he believed he would get a promotion for the great picture he had taken. He looked through all of the pictures he had taken and chose the perfect picture for the newspaper. He later would go out with his mother, Ethel, and he told her all about what had happened and how glad he was for getting the picture that would be in the paper. His mother was confused and said that there was no picture that he was talking about. Not believing her, Charles checked for himself and found out that the picture was not the picture that he had taken. He went back to his work place and told the woman at the desk that he needed to talk to the boss right away and that there was a mistake on the paper. The picture that he had taken was not there. The woman at the desk said that the boss was not able to talk at the moment because he was in the middle of a meeting so Charles waited for the boss. When he met his boss, the boss was not in a bad mood. When Charles brought up the topic of the missing picture, the boss told him that he had not done his job. Charles was very confused. It finally hit him. He had not pressed the send button to the boss so they were unable to use that picture. He was extremely disappointed and put his head down as he walked out of the room.""}",487973.1,373
318,19,Melvin,unrelated,long,sideplot,"{""Q0"":""Melvin called Charles to tell him that he went dumpster diving because he accidently dropped his key in the dumpster. When Melvin first told Charles that he went diving in a dumpster, Melvin remarked that what he had said sounded weird and Charles agreed. Melvin also was upset from ruining his white coat by jumping in the dumpster.""}",229113.6,58
318,19,Beatrice,coherent,long,sideplot,"{""Q0"":""Beatrice called Charles to ask for $100 in order to praticipate in a race. Charles told Beatrice that he didn't have that kind of money, however after explaining that she has arthritis and that exercising would help with the pain Charles gave her $50. I also think she was wearing a red shirt when she talked with Charles.""}",218511,58
318,19,Sandra,unrelated,short,sideplot,"{""Q0"":""Sandra video chatted with Charles, I can't remember a whole lot of the specifics of the conversation but I'm pretty sure they talked about how Charles was frustrated with his picture not being used in the paper. I'm also fairly certain she called him right before Charles went into his boss' office.""}",284705.1,52
318,19,Johnny,coherent,short,sideplot,"{""Q0"":""Johnny Pratt ran into Charles on the street where he told Charles about how he was looking for his credit card that he had lost. He also told Charles that he was behind on his mortgage payment but the bank had told him that if he used his bank card to make the payment he wouldn't have to pay the late fee. Later Johnny called Charles right before Charles got on to a red bus to go see his mom in the park, in the call Johnny told Charles that he needed a lawyer.""}",211240,94
318,19,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort is a photographer, at the beginning of the story he wore a yellow scarf. He was sitting at his desk (witch from the images looked like it was in the center of an office space), eating some greek yogurt behind a pile of those tan file folders that were bursting full of photos. Charles gets a call from Melvin and Beatrice at this time. Charles then got an assignment to get a photograph of the mayor, who was apparently a bad guy and who Charles did not seem to like. Charles got the assignment and was told that he had to get down to the press conference in 20 minutes. Charles complained that it wasn't enough time and hurried out the door with his camera, while he was leaving his boss told him to use his(the boss') bike. Charles went to the press conference, set up his camera and chatted with the person next to him about the mayor. Before the mayor arrived Charles got a call from Melvin Doyle, where Melvin asked Charles to come see him perform in a month and Charles agreed to see him. After the mayor arrived Charles managed to surprise him and get a good shot of the mayor not smiling. On his way to the office Charles runs into Johnny Pratt on the street. Charles went back to the office and prepared to send an email to his boss with the picture he had just taken (we later learn that Charles never sent the email). Charles was hoping for this photo to get him a promotion. Charles went to go see his mom, where he learns that his photo isn't in the article about the mayor. Before Charles goes to see his mom he gets a call from Johnny Pratt. Charles also had one of those news boy caps on (I forget what they're called). Charles goes to his boss' office and demands that he is let in to see his boss, however the secretary explains that the boss is in the middle of a meeting. Charles protests saying it's important. The secretary tells Charles to take a seat and wait, and before Charles can protest he gets a call from Sandra. Charles is eventually let into his boss' office where he complains about his photo not being used. His boss tells him that he had to pay for a photo since Charles never sent him one. Charles leaves feeling sad.""}",1106085,410
319,7,Sandra,coherent,short,sideplot,"{""Q0"":""She was looking to go on a date and called the main character to ask advice about which outfit to wear. Her call interrupted the photographer while he was out either taking a picture of the mayor or sitting with his mom in the park.""}",180649.5,45
319,7,Beatrice,unrelated,short,sideplot,"{""Q0"":""She called the photographer on a video call while he was out on his assignment to take photos of the mayor. She wore a sweater that was a cool color. She didn't appear as much throughout the story as she never was seen in person and was only heard from through the phone.""}",180452.4,53
319,7,Johnny,unrelated,long,sideplot,"{""Q0"":""He works at the news agency and was bumped into at the start of the story when the main character was leaving the office to go to the press conference. He was a friendly co-worker and friend of the main character. He reappeared later in the story than just that one instance, but I can't remember exactly what the context was.""}",180420.2,61
319,7,Melvin,coherent,long,sideplot,"{""Q0"":""I can't remember anything about this character. It's possible that the main character bumped into him in person when he was at the press conference, but I can't quite recall. I also seem to remember a little that he called him at some point after the press conference, but I can't remember the content of that call.""}",180581.5,57
319,7,Charles,mainplot,mainplot,mainplot,"{""Q0"":""He is the main character of the story. He works for a newspaper and is assigned to take a photo of the mayor who has not been acting very ethically lately. He talks with his boss at the news agency and then goes to the press conference where he is able to get the perfect photo of the mayor just as he's walking up the steps to the podium where he is to give a speech. Really excited, he returns to the office and thinks he sends his perfect photo to his boss to go in the next day's paper. In reality, he forgets to hit the send button, so the photo that goes in the paper actually shows the mayor in a happy mood rather than angry as his photo was meant to show. When Charles realizes that his photo isn't in the paper he marches into his boss's office and gets really upset since he believed that this photo was the way to get a promotion to a higher job in the office but his boss tells him that he never received the photo which Charles later confirms. Charles also meets his mom at the park and talks to her about his life and potential promotion that would result from his picture that he got of the mayor. He receives calls from multiple friends through the story on his phone that are both video and phone calls. He ends up not getting the promotion because his photo did not make it into the paper.""}",360442,256
320,2,Sandra,coherent,short,sideplot,"{""Q0"":""I remember that Sandra was going on a blind date with a guy she met on a dating website. She called the main character telling him she was worried about what he would look like. Her ideal guy has long blonde hair, blue eyes, and is white. When she arrived at the restaurant, she thought she was being set up because her date \""never arrived\"". However, we discover that her date did in fact arrive as she was leaving the door. Her ideal guy was the blind date, he just came in late. Sandra was just worried about the date she had in this story.""}",180686.4,105
320,2,Melvin,coherent,long,sideplot,"{""Q0"":""I remember that Melvin was gay. His partner was also black. Melvin was in dilemma about what type of dog he should get. He was stuck between two choices but I think in the end he ended up choosing the lab retriever with a pink collar. I also think that he was wanting to get a dog was because his boyfriend and him were going through a rough patch, so getting the dog could potentially improve things.""}",185113.8,77
320,2,Johnny,unrelated,short,sideplot,"{""Q0"":""I honestly do not remember much about Johnny Pratt. I think he too was having problems with his couple, or he was casting a film part of Hamlet because that was his dream. If Johnny was having problems with his partner, I believe he was looking for a special recipe to be able to cook. ""}",180532.4,56
320,2,Beatrice,unrelated,long,sideplot,"{""Q0"":""I believe Beatrice was lesbian. She too was having problems with her partner. Remembering back, I cannot remember if she was the couple who wanted a dog with and was stuck between choosing the lab with a pink collar or another dog.""}",186387.3,42
320,2,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort was the character who was trying and was auditioning for a Hamlet part. If i remember correctly he did well during the audition. I cannot remember what plays he played, but I do remember him calling the main character because he was worried about his auditions. ""}",362756.9,49
302,25,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra Mayes was the second person to talk to Chris Bott and she called him when he was on his way to take pictures of the mayor at city hall. She had an art show that evening and had a lot of philanthropists coming to see her art and she was stressed, but Chris asked her why because she would be getting money. She said that there is an art critic that was coming, who was a short lady in a red coat that doesn't like murals. She said once she liked an artist she followed them around, so she wanted Chris there to make her feel less nervous. Then, she called him the next day at a cafe and said that it went well and when she was walking out of the cafe, the short lady with the red coat walked by, but she didn't look at her. ""}",213006.1,150
302,25,Beatrice,coherent,short,sideplot,"{""Q0"":""Beatice Small was the third person to call Chris, at the mayor's speech before he spoke, and she said that she needed 100 dollars to compete in a biking competition. She said her doctor told her that she ha like sympathetic arthritis and that exercise would make her feel less pain. But, Chris said that he didn't have that much money so he just gave her 50 dollars. The next day, she saw him and said that she's never felt better, but she hurt her arm during the biking competition cause she fell. But, she said she got back up and finished the race and feels better than she's felt in a long time.""}",180405.2,114
302,25,Johnny,unrelated,long,sideplot,"{""Q0"":""Johnny Pratt was the first person to call Chris on his way to city hall. He called him to see if he's seen his American Express credit card because he lost it. He said that the bank extended the date he has to pay for his mortgage if he pays with his credit card, but he lost it so he doesn't know what to do. Then, the next day, he called again and asked Chris if he knows any flights to Hawaii because he and his boyfriend got in a fight. His boyfriend wanted to make it up to him by going on a vacation to Hawaii together. Chris said he doesn't know any flights but he will look and ask around.""}",181719.2,122
302,25,Melvin,unrelated,short,sideplot,"{""Q0"":""Melvin Doyle called Chris to tell him to save a date in a week because he was going to be performing in a play. Chris congratulated him and told him that he would be there. Then, Melvin sang a line of the play in a high pitched voice. ""}",180803.8,49
